"18 - 25 åriges ungdomsuddannelser efter køn, uddannelsesstatus og tid"

" "," ","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Mænd"
" ","I ALT",240126,243842,251234,259821,267477,276356,283873,291681,299312,304444,310673,312919,313578,311921,308563,303811,302776
" ","FULDFØRT UNGDOMSUDDANNELSE",110686,110048,111698,113831,118426,124085,130445,136931,143793,150458,154751,158222,160015,159504,160184,159595,158686
" ","IGANGVÆRENDE UNGDOMSUDDANNELSE",66188,66371,67014,70106,75548,81991,84949,87393,87782,87660,83215,81409,80864,79189,77316,78171,77705
" ","INGEN UNGDOMSUDDANNELSE",63252,67423,72522,75884,73503,70280,68479,67357,67737,66326,72707,73288,72699,73228,71063,66045,66385
"Kvinder"
" ","I ALT",232602,235264,241876,249820,257113,265564,272794,280467,287420,291477,296491,298590,299817,298773,296028,290803,289971
" ","FULDFØRT UNGDOMSUDDANNELSE",122832,122976,125173,128589,133534,138342,143658,150619,158070,164160,168871,172424,173923,174797,175990,175909,175406
" ","IGANGVÆRENDE UNGDOMSUDDANNELSE",57074,58042,59099,60899,64187,69796,72720,74800,74329,74535,70925,68339,68477,67415,66059,65992,66156
" ","INGEN UNGDOMSUDDANNELSE",52696,54246,57604,60332,59392,57426,56416,55048,55021,52782,56695,57827,57417,56561,53979,48902,48409

"For dokumentation af tabellerne se: "
"http://dst.dk/ext/uddannelse/Uddannelsestabeller "

