tid	alder	køn	FULDFØRT UNGDOMSUDDANNELSE	IGANGVÆRENDE UNGDOMSUDDANNELSE	INGEN UNGDOMSUDDANNELSE	
2005	I alt	Mænd	110686	66188	63252
2005	I alt	Kvinder	122832	57074	52696
2006	I alt	Mænd	110048	66371	67423
2006	I alt	Kvinder	122976	58042	54246
2007	I alt	Mænd	111698	67014	72522
2007	I alt	Kvinder	125173	59099	57604
2008	I alt	Mænd	113831	70106	75884
2008	I alt	Kvinder	128589	60899	60332
2009	I alt	Mænd	118426	75548	73503
2009	I alt	Kvinder	133534	64187	59392
2010	I alt	Mænd	124085	81991	70280
2010	I alt	Kvinder	138342	69796	57426
2011	I alt	Mænd	130445	84949	68479
2011	I alt	Kvinder	143658	72720	56416
2012	I alt	Mænd	136931	87393	67357
2012	I alt	Kvinder	150619	74800	55048
2013	I alt	Mænd	143793	87782	67737
2013	I alt	Kvinder	158070	74329	55021
2014	I alt	Mænd	150458	87660	66326
2014	I alt	Kvinder	164160	74535	52782
2015	I alt	Mænd	154751	83215	72707
2015	I alt	Kvinder	168871	70925	56695
2016	I alt	Mænd	158222	81409	73288
2016	I alt	Kvinder	172424	68339	57827
2017	I alt	Mænd	160015	80864	72699
2017	I alt	Kvinder	173923	68477	57417
2018	I alt	Mænd	159504	79189	73228
2018	I alt	Kvinder	174797	67415	56561
2019	I alt	Mænd	160184	77316	71063
2019	I alt	Kvinder	175990	66059	53979
2020	I alt	Mænd	159595	78171	66045
2020	I alt	Kvinder	175909	65992	48902
2021	I alt	Mænd	158686	77705	66385
2021	I alt	Kvinder	175406	66156	48409
